Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Afghanistan,1980,5.6999998,10.4,18.4,2.4000001,733520,81707,651813,291.649791,,,
Albania,1980,18.700001,21.299999,38.400002,3.4000001,360902,27584,333318,,,,
Algeria,1980,19.1,15.6,30.5,0.80000001,1636110,44442,1591668,2259.724367,,,
Andorra,1980,17.6,30.5,36.700001,24.799999,7636,3244,4391,12534.82271,,,
Angola,1980,22.700001,8.6999998,16.700001,1.1,355432,23628,331804,711.9411692,,,
Antigua and Barbuda,1980,119.5,5.1999998,8.1999998,2.4000001,2425,589,1836,2025.474682,,,
Argentina,1980,19.299999,26.299999,30.799999,22,5141750,2210148,2931602,2746.207484,,,
Armenia,1980,22.299999,26,51.799999,2.4000001,560278,27387,532890,,,,
Australia,1980,24.5,30.5,34.400002,26.799999,3355016,1484506,1870510,10208.57617,,,
Austria,1980,30.799999,26.1,33.400002,19.700001,1564894,636203,928691,10869.54649,,,
Azerbaijan,1980,20.4,20.200001,41.400002,0.89999998,814426,18303,796122,,,,
Bahamas,1980,38.900002,11.1,17.299999,5.0999999,14684,3454,11230,,,,
Bahrain,1980,19.1,17.299999,24,6.1999998,40835,5472,35364,8474.18836,,,
Bangladesh,1980,9.3000002,24.6,45.5,1.7,11293245,369477,10923768,216.109852,,,
Barbados,1980,39.299999,6.6999998,11.9,2.2,11786,2070,9716,3992.036338,,,
Belarus,1980,14.5,27.299999,49.200001,9.3000002,2025347,378832,1646515,,,,
Belgium,1980,24,32.5,39.900002,25.5,2545647,1034916,1510731,12864.00257,,,
Belize,1980,50.900002,11.1,20,2,8538,759,7779,1363.840218,,,
Benin,1980,21.5,9.3999996,16.299999,3.3,193028,36212,156816,366.5295258,,,
Bhutan,1980,42,12,19.1,4,28483,4429,24054,309.8543933,,,
Bolivia,1980,3,33.299999,45.400002,21.799999,1025503,344990,680514,791.0422229,,,
Bosnia and Herzegovina,1980,23.6,36.299999,45.299999,27.9,1076920,427574,649346,,,,
Botswana,1980,32.099998,15.5,26,5.8000002,82433,16035,66398,1130.315973,,,
