Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Belize,2000,33.700001,9.1999998,16.700001,1.7,13092,1181,11911,4642.1470345998,10.869,0.7944,136.52131653
Costa Rica,2000,26.799999,9.6999998,14.0,5.3000002,260749,70529,190220,3773.03379319679,5.08,0.94104,247.7019043
Estonia,2000,21.4,28.5,42.700001,17.0,320459,104867,215592,4070.60902410208,13.36,0.99722,209.71313477
Ghana,2000,12.4,4.5999999,8.1000004,1.0,503576,53551,450024,253.380211399084,10.46,0.60664,16.27483559
Latvia,2000,23.0,30.6,48.5,16.0,598764,172334,426429,3361.64086880275,14.21,0.99626,181.57072449
Malaysia,2000,15.8,21.1,40.200001,1.6,3302524,125135,3177389,4087.56259349384,3.0,0.88009,111.94893646
Mauritius,2000,21.5,18.200001,34.400002,2.5999999,160555,11537,149018,3929.08173176636,9.142,0.89776,115.9647522
Mongolia,2000,11.8,22.5,40.5,4.6999998,351258,36732,314526,463.853881903101,6.086,0.97314,26.41833878
Panama,2000,21.5,9.0,14.5,3.4000001,186232,35106,151126,4099.00653989315,6.051,0.84127,301.52563477
Papua New Guinea,2000,14.9,38.099998,54.5,21.299999,1223775,338371,885404,639.279199918609,2.92,0.60859,18.93960762
Tajikistan,2000,10.9,16.1,29.9,2.5999999,569906,45764,524142,137.18190923442,15.134,0.99934,5.91732073
Thailand,2000,12.5,22.4,43.200001,2.8,10566834,671005,9895829,2004.10704225596,2.39,0.9603,62.15243912
Argentina,2001,17.6,23.6,27.5,20.0,6378514,2797441,3581073,7168.97587232911,17.32,0.9334,671.36853027
Armenia,2001,26.0,26.4,55.099998,2.3,605465,28353,577112,676.150011307766,10.933,0.99273,31.41045189
Bangladesh,2001,5.4000001,22.9,42.799999,1.4,19575053,582470,18992582,410.048540904043,3.618,0.65108,8.41617775
Bolivia,2001,2.2,33.5,46.400002,21.1,1756645,564319,1192326,930.875731258944,2.479,0.79344,44.91654968
Bulgaria,2001,25.200001,35.599998,45.400002,26.5,2393072,922215,1470858,1770.90677898958,19.92,0.97916,119.82997894
Croatia,2001,24.700001,26.1,32.799999,20.0,964064,388511,575554,5364.01024143422,15.82,0.9803,388.32489014
Cyprus,2001,22.200001,33.599998,46.900002,21.200001,186618,60716,125902,14821.447265625,3.98,0.96772,782.16162109
Ecuador,2001,20.299999,7.0,10.9,3.0999999,586706,131507,455199,1904.81367007224,4.25,0.89277,71.49367523
Greece,2001,24.1,39.099998,49.0,29.6,3662629,1417189,2245440,12549.036894906,10.46,0.95524,1004.81542969
India,2001,10.1,15.9,28.5,2.5999999,111820102,8659711,103160392,449.911124933268,7.957,0.68616,19.72481918
Lithuania,2001,18.9,25.1,41.099998,11.6,704367,176672,527695,3525.79363185461,16.84,0.99491,218.81802368
Namibia,2001,6.8000002,16.5,24.0,9.6000004,190591,56846,133745,1916.25589932504,20.856,0.82857,182.13613892
Nepal,2001,5.4000001,34.799999,47.299999,23.1,4922853,1677245,3245609,240.705159164552,10.566,0.65541,10.26470375
Niger,2001,9.5,5.3000002,8.6999998,2.0,315619,61682,253938,203.526488796105,1.47,0.22702,9.59174156
Sri Lanka,2001,8.0,12.0,23.0,1.4,1686603,95734,1590869,832.427319625871,7.9,0.9723,41.30504227
Ukraine,2001,17.799999,30.6,53.200001,11.8,12307585,2604269,9703317,807.801940917969,11.06,0.99135,44.77453232
Algeria,2002,18.0,15.2,29.5,0.69999999,3378788,80134,3298655,1794.811114232,25.9,0.76121,66.94760132
Benin,2002,6.4000001,8.1999998,14.2,2.5,332038,51970,280068,564.379058062222,0.69,0.39159,17.17604637
Chile,2002,9.6000004,33.0,35.599998,30.6,3832320,1812037,2020283,4479.17504395379,10.17,0.91211,322.87405396
Cuba,2002,34.599998,18.6,23.799999,13.4,1648442,592893,1055549,3007.19307369322,3.31,0.99714,213.95626831
Dominican Republic,2002,16.299999,12.0,14.6,9.3999996,707440,278265,429176,3085.51786572269,6.78,0.87655,153.85899353
Georgia,2002,26.299999,22.5,43.599998,4.5,828200,88474,739726,853.526171868939,12.59,0.99535,67.17492676
Guatemala,2002,11.5,7.6999998,13.8,2.2,509286,74820,434466,1682.99450068936,2.767,0.68216,107.24440002
Paraguay,2002,19.6,14.1,21.9,6.1999998,492466,106736,385730,1361.24928059287,9.39,0.94313,64.76425171
Romania,2002,23.1,24.5,35.900002,13.8,4495822,1308250,3187572,2119.85509684554,8.11,0.96576,96.57698822
Senegal,2002,14.9,9.1000004,17.700001,1.2,523657,35233,488424,688.187480033309,5.65,0.4236,27.20366478
Tanzania,2002,8.8000002,10.8,20.299999,1.6,2140603,158376,1982227,400.427551269531,3.031,0.7213,16.92565536
Uganda,2002,4.3000002,11.2,20.0,2.5,1472066,164468,1307598,241.86893022857,3.5,0.74221,15.73926926
Burkina Faso,2003,2.8,11.5,17.200001,6.3000002,776310,220916,555394,363.81835185104,2.78,0.22242,11.43507481
Haiti,2003,5.0,8.6000004,13.4,4.0999999,474596,116684,357912,575.556830068016,11.999,0.53843,18.49892044
Jordan,2003,16.1,25.700001,42.200001,8.0,786644,118183,668461,1889.4378392036,14.5,0.92463,172.24946594
Oman,2003,47.799999,7.0999999,11.9,0.60000002,108467,3629,104838,8896.90253020963,4.255,0.84391,282.28857422
Serbia,2003,27.299999,31.1,38.5,24.1,2541714,1013403,1528311,3005.42635224484,15.2,0.95329,230.08865356
Brazil,2004,29.5,15.9,19.299999,12.6,21045994,8553817,12492177,3623.22390486815,10.07,0.81266,294.3838501
Cambodia,2004,9.8999996,20.700001,39.5,4.0,1719099,176810,1542289,410.086132919785,1.134,0.85477,29.03012466
Chad,2004,1.8,7.0999999,12.3,2.0,347067,48860,298207,460.067018066196,0.805,0.29931,28.63477135
Indonesia,2004,10.8,28.5,54.200001,3.0999999,44133173,2391781,41741390,1136.75521127965,7.3,0.91921,26.21132469
Mexico,2004,14.6,10.9,17.0,5.4000001,7998155,2097079,5901076,7525.4874609367,3.94,0.89331,448.06021118
Moldova,2004,23.5,19.200001,36.200001,4.0999999,587556,67215,520341,897.178494749468,8.17,0.98509,64.60713959
Morocco,2004,16.200001,13.6,27.4,0.60000002,2791628,66311,2725317,2177.798828125,10.83,0.48457,90.9294281
Peru,2004,5.5999999,11.1,16.799999,5.5,2058308,509170,1549138,2393.66589710452,4.71,0.78881,105.008255
Sierra Leone,2004,4.3000002,17.299999,29.299999,5.6999998,489179,82054,407125,258.473168803963,3.42,0.38499,28.69672775
Spain,2004,22.4,27.9,32.900002,23.0,10165195,4302704,5862490,24907.0008505856,11.09,0.98073,1924.27087402
Bhutan,2005,28.1,10.8,16.700001,3.7,46464,7275,39189,1201.43364840454,3.1,0.61636,46.69151688
Burkina Faso,2005,2.5999999,11.0,17.6,4.8000002,786561,179017,607543,442.944430923244,4.0,0.24519,17.50115776
