Country Name,Country Code,Year,GDP per capita,Unemployment,Literacy,Health expenditure
Belize,BLZ,2000,4642.1470345998,10.869,0.7944,136.52131653
Costa Rica,CRI,2000,3773.03379319679,5.08,0.94104,247.7019043
Estonia,EST,2000,4070.60902410208,13.36,0.99722,209.71313477
Ghana,GHA,2000,253.380211399084,10.46,0.60664,16.27483559
Latvia,LVA,2000,3361.64086880275,14.21,0.99626,181.57072449
Malaysia,MYS,2000,4087.56259349384,3.0,0.88009,111.94893646
Mauritius,MUS,2000,3929.08173176636,9.142,0.89776,115.9647522
Mongolia,MNG,2000,463.853881903101,6.086,0.97314,26.41833878
Panama,PAN,2000,4099.00653989315,6.051,0.84127,301.52563477
Papua New Guinea,PNG,2000,639.279199918609,2.92,0.60859,18.93960762
Tajikistan,TJK,2000,137.18190923442,15.134,0.99934,5.91732073
Thailand,THA,2000,2004.10704225596,2.39,0.9603,62.15243912
Argentina,ARG,2001,7168.97587232911,17.32,0.9334,671.36853027
Armenia,ARM,2001,676.150011307766,10.933,0.99273,31.41045189
Bangladesh,BGD,2001,410.048540904043,3.618,0.65108,8.41617775
Bolivia,BOL,2001,930.875731258944,2.479,0.79344,44.91654968
Bulgaria,BGR,2001,1770.90677898958,19.92,0.97916,119.82997894
Croatia,HRV,2001,5364.01024143422,15.82,0.9803,388.32489014
Cyprus,CYP,2001,14821.447265625,3.98,0.96772,782.16162109
Ecuador,ECU,2001,1904.81367007224,4.25,0.89277,71.49367523
Greece,GRC,2001,12549.036894906,10.46,0.95524,1004.81542969
India,IND,2001,449.911124933268,7.957,0.68616,19.72481918
Lao PDR,LAO,2001,320.419011071869,1.913,0.78427,14.47130299
Lithuania,LTU,2001,3525.79363185461,16.84,0.99491,218.81802368
Namibia,NAM,2001,1916.25589932504,20.856,0.82857,182.13613892
Nepal,NPL,2001,240.705159164552,10.566,0.65541,10.26470375
Niger,NER,2001,203.526488796105,1.47,0.22702,9.59174156
Sri Lanka,LKA,2001,832.427319625871,7.9,0.9723,41.30504227
Ukraine,UKR,2001,807.801940917969,11.06,0.99135,44.77453232
Algeria,DZA,2002,1794.811114232,25.9,0.76121,66.94760132
Benin,BEN,2002,564.379058062222,0.69,0.39159,17.17604637
Chile,CHL,2002,4479.17504395379,10.17,0.91211,322.87405396
Cuba,CUB,2002,3007.19307369322,3.31,0.99714,213.95626831
Dominican Republic,DOM,2002,3085.51786572269,6.78,0.87655,153.85899353
Georgia,GEO,2002,853.526171868939,12.59,0.99535,67.17492676
Guatemala,GTM,2002,1682.99450068936,2.767,0.68216,107.24440002
Paraguay,PRY,2002,1361.24928059287,9.39,0.94313,64.76425171
Romania,ROU,2002,2119.85509684554,8.11,0.96576,96.57698822
Russian Federation,RUS,2002,2377.52954101563,7.88,0.98956,140.39338684
Senegal,SEN,2002,688.187480033309,5.65,0.4236,27.20366478
Syrian Arab Republic,SYR,2002,5276.0647125394,10.955,0.87291,63.64098358
Tanzania,TZA,2002,400.427551269531,3.031,0.7213,16.92565536
Uganda,UGA,2002,241.86893022857,3.5,0.74221,15.73926926
Burkina Faso,BFA,2003,363.81835185104,2.78,0.22242,11.43507481
Haiti,HTI,2003,575.556830068016,11.999,0.53843,18.49892044
